               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10178,            0.026139,            0.043243,           0.0012331,             0.31218,           0.0058374,          0.00077324,            0.057177,            0.015155,            0.028424,             0.07037,           0.0032922,           0.0032922
                   1,            0.074325,            0.021445,            0.034763,           0.0016688,             0.53558,           0.0055043,           0.0013297,            0.050936,            0.011213,            0.026188,            0.040239,           0.0064943,           0.0064943
                   2,            0.066718,            0.022211,            0.031571,           0.0014848,             0.50064,            0.019311,           0.0036809,            0.047029,           0.0096421,            0.022308,            0.009976,           0.0095645,           0.0095645
                   3,            0.062946,            0.021217,             0.02869,             0.25615,             0.30641,            0.029257,            0.010552,            0.045251,           0.0087326,            0.019331,            0.009406,            0.009406,            0.009406
                   4,            0.059879,            0.019286,            0.026359,             0.57255,             0.11282,            0.043378,             0.01161,            0.042986,           0.0089635,            0.019532,            0.009406,            0.009406,            0.009406
                   5,            0.057683,            0.019249,            0.024296,             0.53861,             0.12372,            0.037599,            0.011179,            0.041072,             0.00938,            0.020022,            0.009208,            0.009208,            0.009208
                   6,            0.056244,            0.019831,             0.02267,             0.58371,                 0.1,            0.047432,            0.012905,            0.040853,            0.008905,            0.021244,             0.00901,             0.00901,             0.00901
                   7,            0.054381,            0.019128,            0.021963,             0.78317,            0.081093,            0.080391,            0.027856,            0.038561,           0.0084898,            0.021391,            0.008812,            0.008812,            0.008812
                   8,            0.055754,            0.018496,            0.019907,             0.55496,             0.09359,            0.054732,            0.023194,            0.036176,           0.0084604,            0.015829,            0.008614,            0.008614,            0.008614
                   9,            0.054914,            0.019543,            0.019368,             0.64318,             0.16205,            0.082685,            0.023241,            0.034056,           0.0092739,            0.013983,            0.008416,            0.008416,            0.008416
                  10,            0.051841,            0.019753,            0.018261,             0.57335,             0.13782,            0.072062,            0.031394,            0.040033,           0.0082493,            0.014369,            0.008218,            0.008218,            0.008218
                  11,            0.054591,            0.019286,            0.018077,             0.64514,              0.1609,              0.1347,            0.053589,            0.034666,           0.0089291,             0.01242,             0.00802,             0.00802,             0.00802
                  12,            0.051417,            0.019102,            0.018689,             0.62743,             0.16154,             0.13524,            0.049864,            0.034228,           0.0083699,             0.01272,            0.007822,            0.007822,            0.007822
                  13,            0.051577,            0.019015,            0.016192,             0.64368,             0.16731,             0.13468,            0.048124,            0.034303,           0.0084532,            0.013455,            0.007624,            0.007624,            0.007624
                  14,            0.051975,            0.017664,             0.01673,             0.67913,             0.17951,             0.16147,            0.058545,            0.031735,           0.0080318,            0.013221,            0.007426,            0.007426,            0.007426
                  15,            0.048891,            0.019754,            0.015802,             0.67978,             0.20128,             0.16232,            0.064182,            0.033993,           0.0084077,            0.012172,            0.007228,            0.007228,            0.007228
                  16,            0.047968,            0.018442,            0.014802,             0.68002,             0.18358,             0.17784,            0.067432,            0.031251,           0.0076413,            0.012205,             0.00703,             0.00703,             0.00703
                  17,            0.048826,            0.018022,            0.013671,              0.6192,             0.17885,             0.13183,            0.049714,            0.036579,           0.0089235,            0.013072,            0.006832,            0.006832,            0.006832
                  18,            0.047919,            0.019505,            0.014623,             0.70904,             0.14167,             0.16824,            0.058704,            0.034826,            0.008377,            0.014247,            0.006634,            0.006634,            0.006634
                  19,            0.046186,            0.017818,            0.013752,             0.70177,             0.19534,             0.19407,            0.077137,            0.031899,           0.0080883,            0.013666,            0.006436,            0.006436,            0.006436
                  20,            0.044042,            0.017232,            0.014872,             0.68391,             0.22628,             0.17823,             0.07021,            0.032224,           0.0084205,            0.014465,            0.006238,            0.006238,            0.006238
                  21,            0.045823,            0.018663,            0.011373,             0.67972,             0.21468,             0.17159,            0.070893,             0.03263,           0.0081839,            0.015124,             0.00604,             0.00604,             0.00604
                  22,            0.044917,            0.017875,            0.012799,             0.66096,             0.19103,             0.17958,             0.07645,            0.031298,           0.0081489,            0.013731,            0.005842,            0.005842,            0.005842
                  23,            0.045947,            0.018348,             0.01361,             0.85799,             0.12949,             0.21652,            0.094903,             0.03281,           0.0074478,            0.011824,            0.005644,            0.005644,            0.005644
                  24,            0.046292,            0.017338,            0.009045,             0.73298,             0.20869,             0.24096,             0.11156,            0.031492,           0.0074558,            0.011285,            0.005446,            0.005446,            0.005446
                  25,            0.043967,            0.016876,            0.011395,             0.74917,             0.24401,             0.27091,             0.12803,            0.033479,           0.0072625,            0.012638,            0.005248,            0.005248,            0.005248
                  26,             0.04502,            0.016924,            0.011254,             0.82779,             0.19872,             0.26779,             0.12122,            0.032334,           0.0073978,            0.012674,             0.00505,             0.00505,             0.00505
                  27,             0.04313,            0.016265,            0.010868,              0.8026,             0.24103,             0.25389,             0.11507,            0.031985,           0.0076155,            0.012095,            0.004852,            0.004852,            0.004852
                  28,            0.043423,            0.016683,           0.0094473,             0.77959,             0.22179,             0.26022,             0.11306,            0.032276,           0.0077857,             0.01196,            0.004654,            0.004654,            0.004654
                  29,            0.042118,            0.016774,           0.0088806,             0.78296,             0.22165,             0.24974,             0.11978,             0.03223,           0.0078689,            0.011155,            0.004456,            0.004456,            0.004456
                  30,            0.042899,            0.016565,           0.0093092,             0.77173,             0.24936,             0.30373,             0.14534,            0.031157,           0.0072966,             0.01124,            0.004258,            0.004258,            0.004258
                  31,            0.039551,            0.016342,           0.0094223,             0.75716,             0.22628,             0.26397,             0.13222,            0.029135,           0.0072016,            0.011187,             0.00406,             0.00406,             0.00406
                  32,             0.04024,             0.01661,           0.0090338,             0.76513,             0.28261,             0.30765,             0.14737,            0.029795,           0.0074357,            0.010825,            0.003862,            0.003862,            0.003862
                  33,            0.040188,            0.017332,            0.010249,             0.80331,             0.27774,             0.31505,             0.15476,             0.02833,           0.0075453,            0.011157,            0.003664,            0.003664,            0.003664
                  34,            0.040773,            0.015439,            0.010109,             0.61055,             0.37287,             0.35473,             0.15306,             0.02777,           0.0071327,            0.012338,            0.003466,            0.003466,            0.003466
                  35,            0.038687,            0.015679,           0.0078749,             0.54958,             0.36442,              0.3305,             0.14422,            0.028492,           0.0070312,            0.010955,            0.003268,            0.003268,            0.003268
                  36,            0.038553,            0.016843,           0.0076191,              0.5335,             0.37083,             0.31467,             0.13602,            0.028323,           0.0070769,            0.011302,             0.00307,             0.00307,             0.00307
                  37,            0.039009,            0.015334,           0.0093774,             0.46633,             0.34417,             0.33431,             0.13292,            0.027718,           0.0072578,            0.011056,            0.002872,            0.002872,            0.002872
                  38,            0.037406,            0.014934,           0.0079745,             0.46792,               0.325,             0.29528,             0.13084,            0.027633,           0.0072541,            0.010963,            0.002674,            0.002674,            0.002674
                  39,            0.036284,            0.015037,           0.0092882,             0.51614,             0.37917,             0.30444,             0.13332,            0.026784,           0.0072971,            0.010975,            0.002476,            0.002476,            0.002476
                  40,            0.038625,            0.016696,           0.0077079,             0.77381,             0.24936,             0.30404,             0.14301,            0.026289,           0.0074091,            0.011295,            0.002278,            0.002278,            0.002278
                  41,            0.037568,            0.016179,            0.008195,             0.49714,             0.39776,             0.32474,             0.15467,            0.026371,           0.0077895,            0.011727,             0.00208,             0.00208,             0.00208
                  42,            0.037435,            0.016857,            0.007578,             0.54925,             0.34364,             0.33581,             0.16225,            0.026541,           0.0078376,            0.011489,            0.001882,            0.001882,            0.001882
                  43,            0.036051,            0.015819,           0.0058937,             0.54924,             0.43141,             0.37541,             0.17536,            0.026203,            0.007897,            0.011259,            0.001684,            0.001684,            0.001684
                  44,             0.03611,            0.016366,           0.0066276,             0.56197,             0.47115,             0.38581,             0.17996,            0.025788,           0.0076062,            0.011108,            0.001486,            0.001486,            0.001486
                  45,            0.036816,            0.015737,           0.0066113,             0.47143,             0.41506,             0.35726,             0.16519,            0.025751,           0.0076172,            0.010723,            0.001288,            0.001288,            0.001288
                  46,            0.032099,            0.014747,           0.0063228,             0.80639,             0.28412,             0.32834,             0.16369,            0.024908,            0.007526,            0.011595,             0.00109,             0.00109,             0.00109
                  47,            0.036036,            0.016873,           0.0074944,              0.8071,             0.30564,              0.3379,             0.17285,            0.024661,           0.0074635,            0.011563,            0.000892,            0.000892,            0.000892
                  48,            0.032653,            0.014674,           0.0067611,             0.88413,             0.24002,             0.34757,             0.16785,            0.024446,           0.0075251,            0.011464,            0.000694,            0.000694,            0.000694
                  49,             0.03208,            0.015459,           0.0068038,             0.57953,             0.30385,             0.34951,             0.17071,            0.024236,           0.0074989,            0.011582,            0.000496,            0.000496,            0.000496
